repo,policy,tau,n_prs,conflicts,obs_conflicts,avoided_pct,new_conflicts,added_delay_days,delay_days_per_pr,makespan_days,makespan_inflation_pct
benwbrum/fromthepage,predictor,0.5,27,56,56,0.0,0,0.0,0.0,48.90546296296296,0.0
benwbrum/fromthepage,predictor,0.65,27,56,56,0.0,0,0.0,0.0,48.90546296296296,0.0
benwbrum/fromthepage,predictor,0.8,27,56,56,0.0,0,0.0,0.0,48.90546296296296,0.0
CapSoftware/Cap,observed,,27,34,34,0.0,0,0.0,0.0,68.73662037037037,0.0
CapSoftware/Cap,fifo,,27,0,34,100.0,0,628.3614004629629,23.27264446159122,102.69086805555555,49.39761003993369
CapSoftware/Cap,oracle,,27,0,34,100.0,0,375.05296296296297,13.89085048010974,91.7144212962963,33.428761556962925
CapSoftware/Cap,predictor,0.1,27,0,34,100.0,0,628.3614004629629,23.27264446159122,102.69086805555555,49.39761003993369
CapSoftware/Cap,predictor,0.15,27,0,34,100.0,0,628.3614004629629,23.27264446159122,102.69086805555555,49.39761003993369
CapSoftware/Cap,predictor,0.2,27,0,34,100.0,0,628.3614004629629,23.27264446159122,102.69086805555555,49.39761003993369
CapSoftware/Cap,predictor,0.25,27,6,34,82.3529411764706,2,543.8446296296296,20.14239368998628,98.09059027777778,42.704994439995374
CapSoftware/Cap,predictor,0.3,27,11,34,67.6470588235294,0,460.5389814814816,17.056999314128948,95.1076388888889,38.36531149833199
CapSoftware/Cap,predictor,0.4,27,18,34,47.05882352941177,0,410.2457407407407,15.194286694101509,93.85111111111112,36.537278972136654
CapSoftware/Cap,predictor,0.5,27,22,34,35.294117647058826,0,201.54553240740736,7.464649348422495,84.47833333333334,22.90149396077754
CapSoftware/Cap,predictor,0.65,27,33,34,2.9411764705882355,0,0.0001504629629629,5.572702331961777e-06,68.73662037037037,0.0
CapSoftware/Cap,predictor,0.8,27,34,34,0.0,0,0.0,0.0,68.73662037037037,0.0
OWASP-BLT/BLT,observed,,27,49,49,0.0,0,0.0,0.0,51.23175925925926,0.0
OWASP-BLT/BLT,fifo,,27,0,49,100.0,0,4622.313547453704,171.1967980538409,266.0891493055556,419.38319736202413
OWASP-BLT/BLT,oracle,,27,0,49,100.0,0,833.4611863425924,30.868932827503425,105.744849537037,106.40487671312096
OWASP-BLT/BLT,predictor,0.1,27,0,49,100.0,0,4622.313547453704,171.1967980538409,266.0891493055556,419.38319736202413
OWASP-BLT/BLT,predictor,0.15,27,0,49,100.0,0,4622.313547453704,171.1967980538409,266.0891493055556,419.38319736202413
OWASP-BLT/BLT,predictor,0.2,27,32,49,34.69387755102041,8,387.6260069444445,14.356518775720165,103.79929976851852,102.60733043196944
OWASP-BLT/BLT,predictor,0.25,27,34,49,30.612244897959183,10,93.62868634259262,3.4677291237997263,60.37155671296296,17.840100722388996
OWASP-BLT/BLT,predictor,0.3,27,36,49,26.53061224489796,6,32.026556712962964,1.1861687671467764,51.23175925925926,0.0
OWASP-BLT/BLT,predictor,0.4,27,49,49,0.0,0,0.0,0.0,51.23175925925926,0.0
OWASP-BLT/BLT,predictor,0.5,27,49,49,0.0,0,0.0,0.0,51.23175925925926,0.0
OWASP-BLT/BLT,predictor,0.65,27,49,49,0.0,0,0.0,0.0,51.23175925925926,0.0
OWASP-BLT/BLT,predictor,0.8,27,49,49,0.0,0,0.0,0.0,51.23175925925926,0.0
marin-community/marin,observed,,27,13,13,0.0,0,0.0,0.0,42.90979166666667,0.0
marin-community/marin,fifo,,27,0,13,100.0,0,192.03412037037037,7.112374828532235,42.94731481481481,0.0874465866430502
marin-community/marin,oracle,,27,0,13,100.0,0,105.5577199074074,3.909545181755829,42.94731481481481,0.0874465866430502
marin-community/marin,predictor,0.1,27,0,13,100.0,0,192.03412037037037,7.112374828532235,42.94731481481481,0.0874465866430502
marin-community/marin,predictor,0.15,27,0,13,100.0,0,192.03412037037037,7.112374828532235,42.94731481481481,0.0874465866430502
marin-community/marin,predictor,0.2,27,0,13,100.0,0,192.03412037037037,7.112374828532235,42.94731481481481,0.0874465866430502
marin-community/marin,predictor,0.25,27,7,13,46.15384615384615,0,52.64137731481481,1.9496806412894376,42.94731481481481,0.0874465866430502
marin-community/marin,predictor,0.3,27,11,13,15.384615384615383,0,0.4307986111111101,0.0159555041152263,42.94731481481481,0.0874465866430502
marin-community/marin,predictor,0.4,27,12,13,7.6923076923076925,0,0.426886574074075,0.0158106138545953,42.94731481481481,0.0874465866430502
