repo,n,pos,auc_llm,auc_tfidf,auc_jac,auc_ov
microsoft/playwright,12,0.3333333333333333,0.65625,0.625,0.46875,0.78125
514-labs/moose,25,0.24,0.6622807017543859,0.2807017543859649,0.4166666666666667,0.5
Azure-Samples/azure-ai-travel-agents,31,0.0967741935483871,0.6785714285714286,0.7976190476190477,0.375,0.2261904761904762
aztfmod/terraform-provider-azurecaf,19,0.6842105263157895,0.6858974358974359,0.6794871794871795,0.6858974358974359,0.4551282051282051
microsoft/vscode,200,0.07,0.6870199692780338,0.6436251920122887,0.7411674347158218,0.49001536098310294
dongaba/TVerRec,10,0.3,0.6904761904761905,0.6190476190476191,0.8571428571428571,0.5238095238095238
stanford-crfm/haliax,169,0.3727810650887574,0.718628331835879,0.6431566337226715,0.605570530098832,0.5759209344115005
Stirling-Tools/Stirling-PDF,14,0.14285714285714285,0.7291666666666666,0.9166666666666666,0.625,0.3333333333333333
lidofinance/diffyscan,15,0.6666666666666666,0.73,0.88,0.38,0.7
dotnet/aspnetcore,200,0.12,0.7320075757575758,0.6065340909090909,0.5944602272727273,0.5815577651515151
Kiln-AI/Kiln,23,0.17391304347826086,0.7368421052631579,0.8026315789473685,0.5723684210526315,0.34210526315789475
fjordllc/bootcamp,12,0.3333333333333333,0.75,0.484375,0.5,0.453125
lostintangent/gistpad,17,0.8235294117647058,0.75,0.7857142857142857,0.7142857142857143,0.17857142857142858
camunda/camunda,27,0.18518518518518517,0.7545454545454545,0.8454545454545455,0.7727272727272727,0.7363636363636363
econ-ark/HARK,24,0.3333333333333333,0.76171875,0.6171875,0.609375,0.359375
onyx-dot-app/onyx,35,0.05714285714285714,0.7803030303030303,1.0,0.9924242424242424,0.75
temporalio/temporal,26,0.07692307692307693,0.78125,0.5416666666666666,0.71875,0.4375
Cap-go/capgo,200,0.37,0.7955276705276705,0.7842127842127842,0.6916023166023166,0.5379665379665379
microsoft/openvmm,97,0.10309278350515463,0.7959770114942529,0.6298850574712643,0.6367816091954023,0.23390804597701148
OpenHFT/Chronicle-Wire,200,0.14,0.810735049833887,0.6856312292358804,0.7695182724252492,0.4356312292358804
github/gh-gei,51,0.6666666666666666,0.8295847750865052,0.7024221453287197,0.6167820069204152,0.8027681660899654
ESPresense/ESPresense-companion,20,0.35,0.8296703296703297,0.6373626373626373,0.5989010989010989,0.5659340659340659
golang-design/clipboard,20,0.1,0.8333333333333334,0.5555555555555556,0.3611111111111111,0.6527777777777778
cybersemics/em,45,0.4444444444444444,0.835,0.88,0.746,0.466
